,root,strategy,strategy_signal
1226,317.33763040230207,456.66817380979666,456.66817380979666
1227,275.06271891434096,395.832001929697,395.832001929697
1228,278.22831915859604,400.3874934442808,400.3874934442808
1229,279.14804136645955,401.7110297061003,401.7110297061003
1230,261.6855395329068,376.58142622236255,376.58142622236255
1231,259.98353316435697,374.1321354176353,374.1321354176353
1232,243.65037552600373,350.6277270000189,350.6277270000189
1233,240.13526685193025,345.569271572287,345.569271572287
1234,207.07795158925103,297.99778194805197,297.99778194805197
1235,228.23374843734828,328.44226185377175,328.44226185377175
1236,208.7694429743919,300.4319410513641,300.4319410513641
1237,210.0674641175824,302.2998725169008,302.2998725169008
1238,194.58772526780075,280.0235857033245,280.0235857033245
1239,216.611521972939,311.7171702584978,311.7171702584978
1240,214.9115923682641,309.27086804344714,309.27086804344714
1241,219.90338946079117,316.4543680254173,316.4543680254173
1242,215.10604304897683,309.5506944136907,309.5506944136907
1243,199.77565631281286,287.4893343861182,287.4893343861182
1244,193.72300451161496,278.7791998796762,278.7791998796762
1245,199.66665900038635,287.332480616356,287.332480616356
1246,208.92705842216463,300.65875927839676,300.65875927839676
1247,205.3010286964963,295.440681703097,295.440681703097
1248,210.2831852325091,302.61030833720014,302.61030833720014
1249,219.42527469543217,315.7663317641923,315.7663317641923
1250,206.4733509735712,297.1277248461042,297.1277248461042
1251,198.96055928290224,286.3163601263205,286.3163601263205
1252,200.6977831946368,288.8163311201947,288.8163311201947
1253,187.81686293662688,270.2799025102068,270.2799025102068
1254,187.3239703567472,269.57060007402015,269.57060007402015
1255,208.99570093339992,300.75754003191724,300.75754003191724
1256,205.3999263782888,295.58300148937946,295.58300148937946
1257,208.93569338774995,300.6711855196836,300.6711855196836
1258,198.96368535905086,286.3208587402548,286.3208587402548
1259,218.80460648556195,314.8731524157996,314.8731524157996
1260,225.0759524531286,323.8980011446042,323.8980011446042
1261,226.1269042772168,325.41038481514465,325.41038481514465
1262,214.60289781375658,308.82663778215334,308.82663778215334
1263,212.96004642463436,306.4624745949504,306.4624745949504
1264,200.27731502231208,288.2112518166238,288.2112518166238
1265,201.23638644043783,286.8310896451428,286.8310896451428
1266,200.77066523641003,286.1672766897175,286.1672766897175
1267,223.38855134947454,318.40554648790936,318.40554648790936
1268,217.54255947873799,310.07299665435175,310.07299665435175
1269,209.39538841618497,298.4604747107164,298.4604747107164
1270,203.5623369364063,290.14636938664603,290.14636938664603
1271,221.3252681284783,315.46465798860186,315.46465798860186
1272,217.48819485751878,309.9955083639969,309.9955083639969
1273,200.8428003883553,286.270094100625,286.270094100625
1274,202.09081264075888,288.04894096117204,288.04894096117204
1275,193.67812423614532,276.0579654491238,276.0579654491238
1276,198.14342630604366,282.4225572655384,282.4225572655384
1277,206.44850686759185,294.260154576821,294.260154576821
1278,204.4503829945373,291.41214056756604,291.41214056756604
1279,199.79707289758554,284.77957262508573,284.77957262508573
1280,196.2283852335582,279.6929648332135,279.6929648332135
1281,204.80190467390975,291.9131799079744,291.9131799079744
1282,201.83303961870382,287.6815257133382,287.6815257133382
1283,204.0725404716912,290.873584969052,290.873584969052
1284,209.9674523479689,299.2758626423061,299.2758626423061
1285,204.08788959314634,290.89546274826455,290.89546274826455
1286,205.76351463868835,293.2838049668412,293.2838049668412
1287,201.3458799273637,286.98715553719893,286.98715553719893
1288,207.72222818714306,296.07564570371636,296.07564570371636
1289,210.5654362146957,300.12819539940534,300.12819539940534
1290,209.79069183586796,299.02391809495583,299.02391809495583
1291,216.44839934303178,308.51344199566284,308.51344199566284
1292,218.89473722746254,312.00031518715275,312.00031518715275
1293,218.11778050092994,310.8928845260261,310.8928845260261
1294,216.29344612578,308.2925803466613,308.2925803466613
1295,222.95281331342528,317.784469863097,317.784469863097
1296,230.2632021164747,328.20428917708045,328.20428917708045
1297,212.46974517091596,302.8424908734762,302.8424908734762
1298,211.13042655773322,300.9335010332371,300.9335010332371
1299,202.84253853185842,289.1204090006876,289.1204090006876
1300,198.54852446781234,282.9999615273056,282.9999615273056
